mfcc1_std,zcr,mfcc3_mean,label
1.222984655071448,3.8790690095425644,-0.9749683606093781,0
1.4225850016850166,3.2857018026694775,-3.087332085719957,0
-1.4847321519501706,0.24782884917138048,2.831633641912732,1
1.6759534974082222,2.780683033037056,0.4683270967852479,0
0.525280998891232,2.1950761618675494,-2.3791534290813128,0
1.4725704587760342,0.1869400613433613,-2.0886513513035836,0
-0.6045257871469347,1.131313221577979,-2.6057187088363745,0
1.3363699956402437,0.413780643447757,-2.9755749764866626,0
-2.5293085850291313,0.9361109311881477,2.7018118361885435,1
2.8583683691063455,1.8840657848244167,-3.340894445120449,0
